Following data is valid as of 20260901.

Transaction history is available for the last 90 days.

First Bank Card,Transaction Type,Date Posted,Transaction Amount,Description
'5191230000000000',DR,20260326,-86.27,IDP PURCHASE - 8337 NO FRILLS #127 TORONTO ON
'5191230000000000',DR,20260327,-5.50,IDP PURCHASE - 3252 TIM HORTONS #3210 TORONTO ON
'5191230000000000',DR,20260401,-67.98,IDP PURCHASE - 7377 LCBO/RAO #4250 TORONTO ON
'5191230000000000',DR,20260401,-2350.00,RENT PAYMENT 84 BROADVIEW AVE
'5191230000000000',DR,20260403,-54.22,GOODLIFE CLUBS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260403,-150.96,IDP PURCHASE - 2112 LOBLAWS #716 TORONTO ON
'5191230000000000',DR,20260405,-168.00,BELAIRDIRECT INSURANCE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260405,-880.00,LITTLE MAPLE DAYCARE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260406,-74.50,SUN LIFE ASSURANCE MISC PAYMENT
'5191230000000000',DR,20260407,-67.65,IDP PURCHASE - 5361 NO FRILLS #3049 TORONTO ON
'5191230000000000',DR,20260408,-115.27,TORONTO HYDRO BILL PAYMENT
'5191230000000000',DR,20260409,-287.45,BROADVIEW DENTAL CENTRE
'5191230000000000',DR,20260409,-63.39,ENBRIDGE GAS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260412,-89.99,ROGERS PREAUTHORIZED PAYMENT
'5191230000000000',DR,20260414,-45.00,FREEDOM MOBILE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260416,-22.99,NETFLIX.COM MISC PAYMENT
'5191230000000000',DR,20260417,-16.99,SPOTIFY P2C5 MISC PAYMENT
'5191230000000000',DR,20260418,-136.21,IDP PURCHASE - 8989 LOBLAWS #1520 TORONTO ON
'5191230000000000',DR,20260418,-208.33,RESP CONTRIBUTION CST SAVINGS
'5191230000000000',CR,20260420,619.75,CANADA FED / FED CCB DEPOSIT
'5191230000000000',DR,20260426,-311.68,AMEX CREDIT CARD/LOC PAY
'5191230000000000',DR,20260426,-18.96,IDP PURCHASE - 7454 INDIGO #435 ON
'5191230000000000',DR,20260501,-2350.00,RENT PAYMENT 84 BROADVIEW AVE
'5191230000000000',DR,20260502,-74.79,IDP PURCHASE - 1244 SHOPPERS DRUG MART #2923 ON
'5191230000000000',DR,20260502,-61.37,IDP PURCHASE - 8027 LOBLAWS #3287 TORONTO ON
'5191230000000000',DR,20260503,-54.22,GOODLIFE CLUBS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260505,-168.00,BELAIRDIRECT INSURANCE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260505,-880.00,LITTLE MAPLE DAYCARE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260506,-74.50,SUN LIFE ASSURANCE MISC PAYMENT
'5191230000000000',DR,20260508,-67.92,IDP PURCHASE - 4123 NO FRILLS #3893 TORONTO ON
'5191230000000000',DR,20260508,-63.83,PRESTO FARE/TRANSIT TORONTO ON
'5191230000000000',DR,20260508,-121.25,TORONTO HYDRO BILL PAYMENT
'5191230000000000',DR,20260509,-65.39,ENBRIDGE GAS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260509,-45.70,IDP PURCHASE - 7297 INDIGO #2398 ON
'5191230000000000',DR,20260510,-83.03,IDP PURCHASE - 1861 HOME DEPOT #2341 ON
'5191230000000000',DR,20260512,-89.99,ROGERS PREAUTHORIZED PAYMENT
'5191230000000000',DR,20260514,-45.00,FREEDOM MOBILE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260516,-22.99,NETFLIX.COM MISC PAYMENT
'5191230000000000',DR,20260517,-16.99,SPOTIFY P2C5 MISC PAYMENT
'5191230000000000',DR,20260518,-208.33,RESP CONTRIBUTION CST SAVINGS
'5191230000000000',CR,20260520,619.75,CANADA FED / FED CCB DEPOSIT
'5191230000000000',DR,20260522,-41.46,UBER TRIP HELP.UBER.COM ON
'5191230000000000',DR,20260525,-145.73,IDP PURCHASE - 4968 LOBLAWS #1670 TORONTO ON
'5191230000000000',DR,20260526,-595.23,AMEX CREDIT CARD/LOC PAY
'5191230000000000',DR,20260601,-2350.00,RENT PAYMENT 84 BROADVIEW AVE
'5191230000000000',DR,20260603,-54.22,GOODLIFE CLUBS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260604,-141.60,IDP PURCHASE - 5114 LOBLAWS #2861 TORONTO ON
'5191230000000000',DR,20260605,-168.00,BELAIRDIRECT INSURANCE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260605,-880.00,LITTLE MAPLE DAYCARE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260606,-74.50,SUN LIFE ASSURANCE MISC PAYMENT
'5191230000000000',DR,20260608,-88.37,TORONTO HYDRO BILL PAYMENT
'5191230000000000',DR,20260609,-164.21,BROADVIEW DENTAL CENTRE
'5191230000000000',DR,20260609,-120.44,ENBRIDGE GAS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260612,-89.99,ROGERS PREAUTHORIZED PAYMENT
'5191230000000000',DR,20260614,-45.00,FREEDOM MOBILE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260616,-22.99,NETFLIX.COM MISC PAYMENT
'5191230000000000',DR,20260617,-4.41,IDP PURCHASE - 5379 TIM HORTONS #423 TORONTO ON
'5191230000000000',DR,20260617,-16.99,SPOTIFY P2C5 MISC PAYMENT
'5191230000000000',DR,20260618,-208.33,RESP CONTRIBUTION CST SAVINGS
'5191230000000000',CR,20260620,619.75,CANADA FED / FED CCB DEPOSIT
'5191230000000000',DR,20260626,-972.14,AMEX CREDIT CARD/LOC PAY
'5191230000000000',DR,20260628,-25.75,IDP PURCHASE - 2448 PIZZA NOVA #1802 ON
'5191230000000000',DR,20260630,-42.88,IDP PURCHASE - 8603 NO FRILLS #875 TORONTO ON
'5191230000000000',DR,20260701,-2350.00,RENT PAYMENT 84 BROADVIEW AVE
'5191230000000000',DR,20260703,-54.22,GOODLIFE CLUBS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260705,-168.00,BELAIRDIRECT INSURANCE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260705,-880.00,LITTLE MAPLE DAYCARE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260706,-74.50,SUN LIFE ASSURANCE MISC PAYMENT
'5191230000000000',DR,20260708,-105.92,TORONTO HYDRO BILL PAYMENT
'5191230000000000',DR,20260709,-91.60,ENBRIDGE GAS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260709,-3.68,IDP PURCHASE - 2904 TIM HORTONS #1288 TORONTO ON
'5191230000000000',DR,20260712,-89.99,ROGERS PREAUTHORIZED PAYMENT
'5191230000000000',DR,20260713,-145.98,IDP PURCHASE - 4795 LOBLAWS #3366 TORONTO ON
'5191230000000000',DR,20260714,-45.00,FREEDOM MOBILE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260716,-22.99,NETFLIX.COM MISC PAYMENT
'5191230000000000',DR,20260717,-16.99,SPOTIFY P2C5 MISC PAYMENT
'5191230000000000',DR,20260718,-208.33,RESP CONTRIBUTION CST SAVINGS
'5191230000000000',CR,20260720,619.75,CANADA FED / FED CCB DEPOSIT
'5191230000000000',DR,20260720,-114.72,IDP PURCHASE - 1053 LOBLAWS #1160 TORONTO ON
'5191230000000000',DR,20260721,-27.73,AMZ*UBER EATS TORONTO ON
'5191230000000000',DR,20260726,-493.26,AMEX CREDIT CARD/LOC PAY
'5191230000000000',DR,20260726,-95.96,IDP PURCHASE - 5995 NO FRILLS #3624 TORONTO ON
'5191230000000000',DR,20260730,-253.92,IDP PURCHASE - 4835 COSTCO WHOLESALE #647 ON
'5191230000000000',DR,20260730,-101.43,IDP PURCHASE - 6403 NO FRILLS #1013 TORONTO ON
'5191230000000000',DR,20260801,-69.12,IDP PURCHASE - 1274 PETRO-CANADA #4899 ON
'5191230000000000',DR,20260801,-2350.00,RENT PAYMENT 84 BROADVIEW AVE
'5191230000000000',DR,20260803,-54.22,GOODLIFE CLUBS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260804,-7.66,IDP PURCHASE - 5161 TIM HORTONS #2807 TORONTO ON
'5191230000000000',DR,20260805,-168.00,BELAIRDIRECT INSURANCE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260805,-880.00,LITTLE MAPLE DAYCARE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260806,-74.50,SUN LIFE ASSURANCE MISC PAYMENT
'5191230000000000',DR,20260808,-47.36,IDP PURCHASE - 4844 NO FRILLS #1604 TORONTO ON
'5191230000000000',DR,20260808,-138.20,TORONTO HYDRO BILL PAYMENT
'5191230000000000',DR,20260809,-297.46,BROADVIEW DENTAL CENTRE
'5191230000000000',DR,20260809,-49.37,ENBRIDGE GAS PREAUTHORIZED DEBIT
'5191230000000000',DR,20260809,-269.97,IDP PURCHASE - 4220 COSTCO WHOLESALE #665 ON
'5191230000000000',DR,20260811,-90.87,IDP PURCHASE - 8623 LOBLAWS #4300 TORONTO ON
'5191230000000000',DR,20260812,-89.99,ROGERS PREAUTHORIZED PAYMENT
'5191230000000000',DR,20260814,-45.00,FREEDOM MOBILE PREAUTHORIZED DEBIT
'5191230000000000',DR,20260816,-22.99,NETFLIX.COM MISC PAYMENT
'5191230000000000',DR,20260817,-16.99,SPOTIFY P2C5 MISC PAYMENT
'5191230000000000',DR,20260818,-99.06,PRESTO FARE/TRANSIT TORONTO ON
'5191230000000000',DR,20260818,-208.33,RESP CONTRIBUTION CST SAVINGS
'5191230000000000',CR,20260820,619.75,CANADA FED / FED CCB DEPOSIT
'5191230000000000',DR,20260822,-171.60,IDP PURCHASE - 6413 HOME DEPOT #1082 ON
'5191230000000000',DR,20260826,-291.91,AMEX CREDIT CARD/LOC PAY
'5191230000000000',DR,20260828,-104.19,IDP PURCHASE - 6170 LOBLAWS #1947 TORONTO ON
